uuid,content,is_illegal,illegal_type,illegal_type_dict
166406,中金所相当于取消了50万的开户门槛限制，有进步！股指期权火爆可期。中金所下一步动作应该是彻底恢复股指期货的日内手续费，以及开出 mini 期货品种。 ??,1,7,恶意抹黑监管机构
175337,松绑股指期货对散户是极其不利的，A股不同于其他国家股市，是地地道道的政策市，并且以散户为主，暴跌暴涨常态化，方便了主力割韭菜，符合监管层去散户化的方针，说好的保护中小投资者利益呢？ ??,1,7,恶意抹黑监管机构
168198,甭管学没学，位置要优越！中金所的效率真的是一言难尽啊…… ??,1,7,恶意抹黑监管机构
168124,【4月A股回调的罪魁祸首——股指期货松绑】股指期货的松绑，让机构投资者有了做空A股的可能。目前股市涨了800多点，涨幅已达30%，而且是逼空式上涨的，而且中小投资者不能参与做空，这意味着，中金所给了机构投资者做空A股市场的机会。所以，股指期货松绑的消息一经传出，A股马上应声而跌。 ??,1,7,恶意抹黑监管机构
167948,#股市大跌#这周股灾和中金所放开股指期货有关，这个时间点、这个点位给大资金找到做空的理由，请中金所继续关闭股指期货。按照目前这个来看，我国的金融环境还很混乱，各种媒体唱多唱空，监管部门应该是多做事少讲话，谁违法就监管谁。@财经网 @央视财经 @天津股侠 @财联社APP @东方财富网 @经济之声 @快兰斯24小时财经直播 @叶艾茂 @天津股侠 @中国新闻网 @中信证券sh600030 @央视财经 @央视新闻 @澎湃新闻 收起全文d,1,7,恶意抹黑监管机构
168165,不给力啊中金所算了，先祈祷一下明天的银行吧 ??,1,7,恶意抹黑监管机构
168110,#股票# 尼玛的，股指跟股指期货居然倒挂了，股指大跌，股指期货居然上涨，做空股指的估计有人爆仓了！今天杀个股拉指数，风向标转换到50等权重股了！！ 2成都·四川美术馆 ??,1,7,恶意抹黑监管机构
168254,新的一周又开始了，周末股市消息面不太乐观。股指期祸在上周‘割了一波韭菜’后，这周是借外盘说事继续往下砸，还是能消停点儿维持区间小幅震荡格局？我倾向第二种可能大概率。目标股五矿稀土，继续耐心持股等待中。 ????????,1,7,恶意抹黑监管机构
167928,大力放开和推广国企混改（私有化）之际，并且外资持股还取消50%限制，一下把股指期货交易放大10倍，难道不怕再出现15年的股灾吗？当年股灾开盘就千股跌停，不正是股指期货做空后来限制股指交易量才止住股灾吗？如果再大肆做空，中国国企股价跌到地板上外资岂不是来抄底？这个风险难道没考虑吗？或是有人故意而为之？！ 收起全文d,1,7,恶意抹黑监管机构
167931,放松股指期货，必加剧股市剧烈波动极少数利益集团及代言人，为了自己那点私利，总能编织出各种经济谬论。如当下某些人打着资本市场要改革开放，要与国际接轨，引进更多外资的理论，便是典型谬论，经不起推敲。股市刚有点起色，就马上有人要放松期指，与国际接轨。这是不顾实际情况的乱接轨。中国股市由于涨跌停制度，下跌50%，必上涨100%，故本质上处于熊市中。大幅放松期指，可以做多，也可以做空，但证券从业人员虽不能买卖股票，却可以买卖期指，因此基金经理等利用别人筹码砸盘，却可以为自己牟利。这是公开的秘密。在证券法修改稿还未公布，对机构做空没有科学规定前，就急急地放松期指，这是对股市信心的巨大打击。放松期指，不是真改革开放，而是假改革开放。既与国际按不了轨，也引不进多少外资。没有期指，股民也有做空制度，股民卖出，空仓，不就是做空吗？而期指做空，却是针对典型指数做空，非常危险。庄家只要用少量的钱，就可使股市大起大落。早几年把这祸害关进了笼子，为何现在要放出来？现在股市，外资只占3%，内资占97%，为了那3%，放松期指，为害90%，是怎么盘算的？中国股市是缺国内资金吗？不！是制度缺失令亿万股民伤心。由于期指的各种不公平不公正的存在，不但不能放松，而且要追究放松者的责任！如股市再暴跌，必须要有人马上负责，马上处分。 收起全文d,1,7,恶意抹黑监管机构
