emotion,weibo_content,weibo_id
中性,【国家药监局会同多部门组成核查组赴武汉核查百白破疫苗处置工作】新华社北京8月1日电为进一步落实习近平总书记、李克强总理重要指示批示精神，保障人民群众身体健康，8月1日，按照国务院要求，国家药监局会同卫生健康委等部门组成由国家药监局党组书记、副局长李利任组长的核查组，赴武汉就武汉生物制品研究所有限责任公司（简称武汉生物）2017年效价不合格百白破疫苗处置工作开展核查。,4268199685749900
中性,【金华一小区两业主买下327个车位引不满，称协议是商业机密】L浙江日报的秒拍视频 浙江金华泰地·金水湾小区两位业主一口气买下327个车位，小区居民对此强烈不满。该业主无法提供327个车位的买卖发票、买卖协议、打款凭证，同时在327个车位上安装车锁，在产权还未明确的情况下，有霸占车位的嫌疑。对此，买车位的两位业主表示，协议是商业机密，不会公开。（@浙江日报 ）,4268198998535590
中性,【夏天图凉快 这几种误区可能致面瘫、晕厥】酷暑难耐，风扇、空调成了“解暑”利器。吹起电扇没够、一身大汗后立刻吹空调……殊不知，一时的痛快可能让你“很受伤”！腰酸背疼、晕厥，甚至还可能面瘫或得肺炎。戳图↓使用风扇、空调避免8大误区， 给你关心的TA!@央视新闻,4268198997967540
中性,新华社5评楼市乱象背后：中央明确房价不能涨，调控将再加码。（澎湃）,4268197840714210
中性,【华大基因：湖南案例孕妇不是漏检 不存在赔偿的说法】有网文爆湖南长沙一名孕妇在经无创产前筛查之后生下问题男婴，令华大基因的无创产筛一度受到质疑。8月1日上午，华大基因方面表示，认为“华大漏检”是概念性错误，实际上该案例并不在华大的无创产前基因检测范围之内，因此也不存在对对方赔偿的说法。后续华大会从人道主义考虑，以给予医疗上的建议等方式给予关怀。（证券时报 刘凡）,4268193171724070
中性,【潘石屹：我们有钱，特别怕去管别人的钱】7月31日，潘石屹被问及SOHO3q融资的问题，他表示去年公司负债率4.1%，可能是全中国房地产最低的，还没有融资打算[哈欠]。“我们又不是创业企业，我们有钱。现在大家都融资了上市了，我还特别怕管别人的钱。”,4268192442834100
中性,【厉害了！大爷用冰糕棍做环保艺术品】这些精致的古建筑模型都出自70岁的张小成之手。张大爷平日最大的乐趣就是收集丢弃的冰糕棍，将其清洗、漂白、蒸煮、晾晒后，制作成古建筑模型。近年来，他已创作了60余件作品，多次在社区和学校展出，受到观众喜爱。（新华社记者 王晓 摄）,4268191666061520
中性,【7月份违约债券再添丁 6只新增债券涉余额68.26亿元】7月30日，大连机床公告称，其发行的4亿元中期票据“15机床MTN001”应于当日兑付本息，但由于公司已于2017年11月10日被大连中级法院依法裁定进入重整程序，目前重整工作仍在进行当中，该期中票不能按期足额兑付本息，已构成实质性违约。,4268191448945070
中性,发表了博文《中国的国内企业为何喜欢炒房？》最近，不少城市的房地产调控政策，都在限制以企业的名义购买住房。因为，企业炒作住房，不仅容易推高房价，而且也会影响企业对实业的投资，不利经济发展。而限制企业炒作,4268189418442330
中性,#东方财富#国家药监局：会同多部门核查武汉生物百白破疫苗处置工作,4268187191813060
中性,【四川全面检查融资担保行业 严重违规将被吊销牌照】为加强融资担保行业监管，防范化解金融风险，促进行业规范健康发展，四川省金融工作局于7月下旬至9月底在全省开展融资担保行业全面检查，被检查机构如发现存在五种严重违规情况之一的，将被吊销融资担保业务资格。,4268186994171910
中性,发表了博文《汇率不是什么大风险这件事才可怕处理不好准备过几十年苦日子！》汇率不是什么大风险这件事才可怕处理不好准备过几十年苦日子！2018/8/1微信公众号“叶檀财经”有人非常担心人民币汇率失控下跌，,4268184904842500
中性,RMB汇率下跌有什么可怕的？我最担心的是实体经济，国有企业。,4268183856695270
中性,【财联社午报】博览会概念异军突起 大基建题材继续活跃。,4268182867540200
中性,赵晓教授主讲，精彩值得期待,4268180626610210
中性,【国家药监局会同多部门组成核查组赴武汉核查百白破疫苗处置工作】为进一步落实习近平总书记、李克强总理重要指示批示精神，保障人民群众身体健康，8月1日，按照国务院要求，国家药监局会同卫生健康委等部门组成由国家药监局党组书记、副局长李利任组长的核查组，赴武汉开展核查。,4268177082436540
中性,【面条最简单的做法】午餐时间到啦，不揉面，不擀面，5分钟做一锅，营养又美味[馋嘴],4268176352766900
中性,【沪指冲高回落跌0.32%，自贸港板块逆势大涨】截至上午收盘，沪指跌0.32%，报收2867点；深成指跌0.33%，报收9148点；创业板涨0.21%，报收1564点。,4268173505125830
中性,【国家药监局：会同多部门组成核查组赴武汉核查百白破疫苗处置工作】财联社8月1日讯，按照国务院要求，国家药监局会同卫生健康委等部门组成由国家药监局党组书记、副局长李利任组长的核查组，赴武汉就武汉生物制品研究所有限责任公司（简称武汉生物）2017年效价不合格百白破疫苗处置工作开展核查。,4268173416633130
中性,【国家药监局：组成核查组赴武汉核查百白破疫苗处置工作】为进一步落实习近平总书记、李克强总理重要指示批示精神，保障人民群众身体健康，8月1日，按照国务院要求，国家药监局会同卫生健康委等部门组成由国家药监局党组书记、副局长李利任组长的核查组，赴武汉就武汉生物制品研究所有限责任公司（简称武汉生物）2017年效价不合格百白破疫苗处置工作开展核查。,4268173026867950
中性,【一边防风险一边提信心 各地互金协会祭出“组合拳” “理财计划”类产品为清理重点】面对6月份以来的集中风险，各地互金协会正在通过一系列“组合拳”，一边防范规避风险，一边提振投资者和网贷平台的信心。《证券日报》记者浏览各地互金协会的举措，发现几乎都要求平台清理“理财计划”类产品。在流动性风险大增的背景下，“理财计划”类产品因可能存在期限和规模错配，易受流动性风险冲击，而更受关注。,4268172569472290
中性,"【星巴克在华遭遇“中年危机""：利润率9年来首次下滑，准备用这招来讨好中国人？】星巴克上周发布的2018年第三季报显示，在一直寄予厚望的中国/亚太区市场，星巴克虽然收入和运营收入同比上涨46%和5%，但营运利润率却下降7.6个百分点至19%。据了解，这是星巴克近9年来该数据的首次下降。面对在中国市场激烈的竞争，星巴克也想出了对策——消息称，为了扭 在中国市场上销量下滑的局面，星巴克准备与电商巨头阿里巴巴合作，推出送咖啡服务。",4268172208581260
中性,#上证快讯#【三大股指冲高回落 上海自贸概念表现活跃】沪指早盘冲高回落，震荡翻绿；创业板指一度涨逾1%，但临近午盘也涨幅收窄。盘面上，上海自贸概念板块表现活跃，东方创业涨停，长江投资涨逾6%；在线旅游、国产芯片等板块也涨幅居前。另一方面，房地产板块领跌，钢铁、水泥、采掘等周期板块高开低走，板块内多只个股翻绿。,4268171017646970
中性,【午评：三大股指冲高回落沪指跌0.32% 自由贸易港领涨】截止午间收盘，沪指报2867.33点，跌0.32%，深成指报9148.52点，跌0.33%，创指报1564.25点，涨0.21%。从盘面上看，自由贸易港、造纸、水泥居板块涨幅榜前列，钢铁、燃料乙醇、生物质能居板块跌幅榜前列。,4268170094660790
中性,发表了博文《钮文新：央行要把好经“念”好》“收短放长”是正确的政策选择，但“收短和放长”之间是不是需要平�？当然需要。如果“收短”过力，“放长”不足，那货币政策依然会偏离中性，那同样是错误的。另外，越,4268169575596760
中性,【国家药监局：会同多部门组成核查组赴武汉核查百白破疫苗处置工作】8月1日，按照国务院要求，国家药监局会同卫生健康委等部门组成由国家药监局党组书记、副局长李利任组长的核查组，赴武汉就武汉生物2017年效价不合格百白破疫苗处置工作开展核查。,4268168958665190
